SID,Photo URL
1,sites/default/files/species_photo/rubrus-d.png
2,sites/default/files/species_photo/intermedius-d.png
3,sites/default/files/species_photo/militaris-d.png
4,sites/default/files/species_photo/taurus-d.png
5,
6,sites/default/files/species_photo/fulvus-d.png
7,sites/default/files/species_photo/pallipes-d.png
8,sites/default/files/species_photo/nigriventris-d.png
9,sites/default/files/species_photo/vacca-d.png
10,sites/default/files/species_photo/africanus-d.png
11,sites/default/files/species_photo/gazella-d.png
12,sites/default/files/species_photo/sagittarius-d.png
13,sites/default/files/species_photo/binodis-d.png
14,sites/default/files/species_photo/obliquus-d.png
15,sites/default/files/species_photo/bison-d.png
16,sites/default/files/species_photo/alexis-d.png
17,sites/default/files/species_photo/caffer-d.png
18,sites/default/files/species_photo/pecuarius-d.png
19,sites/default/files/species_photo/vanderkelleni-d.png
20,sites/default/files/species_photo/bubalus-d.png
21,sites/default/files/species_photo/viridulus-d.png
22,sites/default/files/species_photo/elphenor-d.png
23,sites/default/files/species_photo/aygulus-d.png
24,sites/default/files/species_photo/spiniger-d.png
25,sites/default/files/species_photo/hispanus-d.png
