SID,Photo URL
1,sites/default/files/species_photo/rubrus-l.png
2,sites/default/files/species_photo/intermedius-l.png
3,sites/default/files/species_photo/militaris-l.png
4,sites/default/files/species_photo/taurus-l.png
5,sites/default/files/species_photo/spinipes-l.png
6,sites/default/files/species_photo/fulvus-l.png
7,sites/default/files/species_photo/pallipes-l.png
8,sites/default/files/species_photo/nigriventris-l.png
9,sites/default/files/species_photo/vacca-l.png
10,sites/default/files/species_photo/africanus-l.png
11,sites/default/files/species_photo/gazella-l.png
12,sites/default/files/species_photo/sagittarius-l.png
13,sites/default/files/species_photo/binodis-l.png
14,sites/default/files/species_photo/obliquus-l.png
15,sites/default/files/species_photo/bison-l.png
16,sites/default/files/species_photo/alexis-l.png
17,sites/default/files/species_photo/caffer-l.png
18,sites/default/files/species_photo/pecuarius-l.png
19,sites/default/files/species_photo/vanderkelleni-l.png
20,sites/default/files/species_photo/bubalus-l.png
21,sites/default/files/species_photo/viridulus-l.png
22,sites/default/files/species_photo/elphenor-l.png
23,sites/default/files/species_photo/aygulus-l.png
24,sites/default/files/species_photo/spiniger-l.png
25,sites/default/files/species_photo/hispanus-l.png
